WKT,name,description
"POLYGON ((106.7336498 -6.11684, 106.72644 -6.1671894, 106.7422329 -6.214633, 106.7742252 -6.2877797, 106.8126773 -6.2939223, 106.8566226 -6.3068897, 106.8916415 -6.3062073, 106.9259738 -6.315762, 106.9637393 -6.2918748, 106.9513797 -6.2277149, 106.9438266 -6.1901709, 106.9390201 -6.1321432, 106.9239139 -6.1007373, 106.7336498 -6.11684))",Kota DKI Jakarta,
"POINT (106.8229198 -6.1944491)",Jakarta,
